ServiceDate,Routes,RouteName,CurrentRevenue,Ridership,TokenCount,TicketCount,PassCount,BillCount,UnclassifiedRevenue,DumpCount
5/12/2016,34,34-S.ST.MARY'S,678.26,1907,1,0,1119,380,49.53,189
5/12/2016,36,36-S. PRESA ST.,395.47,941,0,0,543,206,39.08,123
5/12/2016,42,42-ROOSEVELT,420.51,1155,0,0,650,219,19.07,118
5/12/2016,43,43-S. FLORES,541.74,1353,0,0,737,272,16.63,150
5/12/2016,44,44-PLEASANTON RD.,441.09,1311,0,0,702,226,16.02,105
5/12/2016,46,46-COMMERCIAL,211.63,479,1,0,270,121,14.46,61
5/12/2016,48,48-IH 35 South Express,9.45,41,0,0,25,7,0,0
5/12/2016,51,51-NOGALITOS STREET,441.15,1220,0,0,752,236,21.51,125
5/12/2016,54,54-S.MAIN,87.96,219,0,0,123,48,5.73,32
5/12/2016,62,62-KELLY U.S.A.,209.37,604,0,0,372,118,7.04,51
5/12/2016,64,64-KLAC/SEA WORLD/N.W. VISTA    ,236.57,773,1,0,525,148,29.83,42
5/12/2016,66,66-CERALVO,392.71,1023,0,0,553,211,23.95,129
5/12/2016,67,67-LAREDO,197.04,545,0,0,334,120,12.99,53
5/12/2016,68,68-GUADALUPE,606.11,2002,1,0,1218,352,34.49,175
5/12/2016,70,70-DURANGO,51.66,220,0,0,129,26,4.72,17
5/12/2016,75,75-WEST COMMERCE,789.14,2531,1,0,1575,427,54.83,242
5/12/2016,76,76-OLD HWY. 90 W.,822.58,2622,0,0,1778,451,38.2,236
5/12/2016,77,77-MARTIN ST.,196.11,601,0,0,361,97,8.47,57
5/12/2016,79,79-RUIZ ST.,378.24,1284,0,0,822,193,26.05,114
5/12/2016,82,82-CULEBRA,712.05,1940,0,0,1176,404,33.88,203
5/12/2016,88,88-BANDERA RD.,732.06,1962,3,0,1161,402,38.84,205
5/12/2016,89,89-DONALDSON,326.89,971,0,0,588,169,14.03,98
5/12/2016,90,90-BABCOCK RD.,360.69,1162,1,0,657,194,23.59,125
5/12/2016,93,93-CROSS./UTSA/P/R EXP.,90.17,446,0,0,254,54,11.43,14
5/12/2016,94,94-FIESTA/UTSA/EXPRESS          ,48.49,323,0,0,187,33,5.2,11
5/12/2016,95,95-Fredericksburg Rd.,253.74,981,0,0,638,144,14.52,63
5/12/2016,96,96-VANCE JACKSON RD.,957.4,2425,0,0,1543,542,92.37,259
5/12/2016,97,97-WEST AVENUE,600.71,1664,0,0,1045,321,38.09,172
5/12/2016,100,100 - PRIMO FREDRICKSBURG RD.,1323.71,5559,1,0,3880,745,79.67,383
5/12/2016,301,301-RED                         ,205.22,310,0,0,143,115,6.22,29
5/12/2016,305,305-BLUE                        ,65.4,171,0,0,100,43,1.49,14
5/12/2016,333,333-E-Route,0,26,0,0,0,0,0,0
5/12/2016,502,502-THOUSAND OAKS               ,314.21,1051,0,0,696,176,15.04,77
5/12/2016,505,505-BASSE RD.,223.48,509,0,0,284,120,9.5,56
5/12/2016,509,509-HILDEBRAND                  ,284.7,739,0,0,453,149,17.91,79
5/12/2016,515,515-SOUTHCROSS                  ,362.06,892,0,0,509,192,14.87,98
5/12/2016,520,520-ZARZAMORA                   ,1850.41,5899,4,0,3456,971,97.89,565
5/12/2016,522,522-CUPPLES RD.                 ,347.34,987,0,0,583,187,20.24,109
5/12/2016,524,524-MCMULLEN                    ,934.01,2428,0,0,1387,487,43.41,273
5/12/2016,534,534-WURZBACH                    ,710.56,2389,0,0,1583,373,62.19,243
5/12/2016,550,550-LOOPER LIMITED STOP,1160.09,3420,1,0,2267,611,72.26,323
5/12/2016,551,551-LOOPER LIMITED STOP,1117.55,3610,0,0,2359,654,56.09,314
5/12/2016,602,602-MED/N CENT,312.6,862,0,0,538,157,15.8,93
5/12/2016,603,603-MED/WD  PK/UTSA,297.68,791,0,0,450,164,17.49,82
5/12/2016,604,604-CROSSROADS/WOODS OF SHAVANO ,251.29,579,0,0,339,127,17.55,82
5/12/2016,605,605-MED./BRAUN,90.35,184,0,0,90,46,6.85,23
5/12/2016,606,606-INGRAM/NEW TERRITORIES      ,171.38,415,0,0,236,102,13.89,53
5/12/2016,607,607-CROSS./INGR.,156.49,403,1,0,234,76,9.97,53
5/12/2016,609,609-BRAUN/INGR,73.07,280,0,0,192,43,7.96,22
5/12/2016,610,610-N.W. CROSSING,250.31,570,0,0,319,126,11.89,58
5/12/2016,611,611-VALLEY HI,155.75,351,0,0,217,86,8.04,46
5/12/2016,612,612-WESTLAKES,97.28,268,0,0,147,48,4.81,32
5/12/2016,613,613-HERITAGE NW,281.41,605,0,0,309,158,12.03,81
5/12/2016,614,614-HIDDEN COVE,164.93,351,0,0,206,88,4.63,33
5/12/2016,615,615-HERITAGE PK.,249.22,569,0,0,334,119,10.34,69
5/12/2016,616,616-SKY HARBOUR,165.3,387,0,0,219,84,3.41,24
5/12/2016,617,617-RAINBOW HILLS,193.11,435,0,0,256,107,11,49
5/12/2016,618,618-WLAKES/ING.,192.92,356,0,0,203,90,8.11,43
5/12/2016,619,619-INDIAN CREEK,119.43,311,0,0,188,61,3.99,26
5/12/2016,620,620-BRAUN./MED.,126.3,407,0,0,217,66,5.96,36
5/12/2016,630,630-SUNRISE,311.14,768,0,0,469,177,21.26,88
5/12/2016,632,632-WOODLAKE,429.47,1052,0,0,588,242,19.13,113
5/12/2016,640,640-NACO PASS/ROLLING OAKS      ,85.07,260,0,0,136,39,2.18,21
5/12/2016,641,641-NACO PASS/ROLLING OAKS      ,62.06,180,0,0,88,35,2.13,13
5/12/2016,642,642-NACO PASS/SELMA             ,122.8,295,0,0,171,72,4.04,32
5/12/2016,647,647-TERRELL PLZ.,146.3,352,0,0,222,72,6.28,34
5/12/2016,648,648-HOLLYWOOD PK.,173.96,393,0,0,220,105,6.07,45
5/12/2016,651,651-CASTLE HILLS ,237.28,561,0,0,289,119,13.52,82
5/12/2016,660,660-UNIV P&R / NW VISTA,108.4,346,0,0,137,53,8.33,28
5/12/2016,900,900-CONTRACT,7.7,12,0,0,4,4,0.53,5
5/13/2016,2,2-BLANCO RD.,1226.93,3124,0,0,1760,665,65.42,355
5/13/2016,3,3-SAN PEDRO,557.54,2012,0,0,1417,308,88.5,193
5/13/2016,4,4-SAN PEDRO,854.94,2760,0,0,1749,476,59.64,261
5/13/2016,5,5-MC CULLOUGH,554.52,1583,0,0,970,318,33.3,164
5/13/2016,6,6-US 281 Express,47.27,274,0,0,200,26,3,13
5/13/2016,7,7-FUNSTON,18.17,48,0,0,32,9,0.38,3
5/13/2016,8,8-N.ST.MARYS,482.52,1179,0,0,723,262,25.83,129
5/13/2016,9,9-BROADWAY,504.1,1154,0,0,704,287,29.39,132
5/13/2016,10,10-NACO./BROAD.,505.87,1440,1,0,860,259,18.57,131
5/13/2016,14,14-PERRIN BEITL,1055.18,2552,0,0,1531,605,45.11,302
5/13/2016,17,17-RANDOLPH P/R,199.65,879,0,0,578,127,10.16,21
5/13/2016,20,20-NEW BRAUNFELS,1136.71,3928,0,0,2533,628,53.91,317
5/13/2016,21,21-KIRBY,726.67,1562,0,0,897,395,45.05,199
5/13/2016,22,22-NOLAN,261.95,1088,0,0,553,138,18.4,72
5/13/2016,24,24-E.HOUSTON,615.77,1548,0,0,899,327,24.81,143
5/13/2016,25,25-EAST COMMERCE,505.23,1578,0,0,975,279,43.15,157
5/13/2016,26,26-M.L. KING,346.81,1109,0,0,649,188,14.54,113
5/13/2016,28,28-PORTER,747.2,1798,0,0,1041,426,29.43,179
5/13/2016,30,30-RIGSBY,446.44,1046,0,0,556,242,19.49,122
5/13/2016,32,32-STEVES AVENUE,478.64,1096,2,0,576,231,24.55,136
5/13/2016,34,34-S.ST.MARY'S,818.94,2279,0,0,1311,469,50,239
5/13/2016,36,36-S. PRESA ST.,363.7,818,1,0,472,210,25.53,111
5/13/2016,42,42-ROOSEVELT,473.42,1091,1,0,599,260,43.6,148
5/13/2016,43,43-S. FLORES,474.28,1227,0,0,729,249,20.51,130
5/13/2016,44,44-PLEASANTON RD.,467.61,1311,0,0,698,257,17.21,134
5/13/2016,46,46-COMMERCIAL,260.04,514,0,0,292,131,10.22,66
5/13/2016,48,48-IH 35 South Express,19.5,34,0,0,14,8,0.5,2
5/13/2016,51,51-NOGALITOS STREET,523.19,1455,0,0,906,283,22.39,146
5/13/2016,54,54-S.MAIN,170.69,414,0,0,242,89,14.79,60
5/13/2016,62,62-KELLY U.S.A.,217.88,615,0,0,382,122,8.71,61
5/13/2016,64,64-KLAC/SEA WORLD/N.W. VISTA    ,253.74,752,0,0,511,163,25.64,45
5/13/2016,66,66-CERALVO,470.74,1315,0,0,725,254,26.77,134
5/13/2016,67,67-LAREDO,195.82,553,0,0,321,110,7.1,55
5/13/2016,68,68-GUADALUPE,806.2,2757,0,0,1682,463,42,228
